No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
304,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Pemantauan Khusus
305,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,5.000.000.000,Pengembangan
306,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pemantauan Khusus
307,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,3.410.510.566,Pemantauan Khusus
308,MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,Pengembangan
309,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,33.435.294.800,Utama
310,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,13.907.481.500,Utama
311,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus
312,MITI,Mitra Investindo Tbk.,16 Jul 1997,3.540.735.503,Pengembangan
313,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan
314,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
315,MLIA,Mulia Industrindo Tbk,17 Jan 1994,6.615.000.000,Utama
316,MLPL,Multipolar Tbk.,06 Nov 1989,15.682.323.987,Utama
317,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,Pengembangan
318,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Utama
319,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
320,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.462.963.276,Utama
321,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,12.966.640.084,Pengembangan
322,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Pengembangan
323,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Utama
324,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Pengembangan
325,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
326,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pemantauan Khusus
327,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
328,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus
329,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Utama
330,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
331,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Pemantauan Khusus
332,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
333,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Pengembangan
334,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
335,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
336,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Pengembangan
337,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pemantauan Khusus
338,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus
339,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,2.373.449.165,Pengembangan
340,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pemantauan Khusus
341,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Pemantauan Khusus
342,PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Pengembangan
343,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.387.500.000,Utama
344,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
345,PBRX,Pan Brothers Tbk.,16 Agt 1990,21.482.028.246,Pemantauan Khusus
346,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
347,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan
348,PGAS,Perusahaan Gas Negara Tbk.,15 Des 2003,24.241.508.196,Utama
349,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,Pengembangan
350,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
351,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Pengembangan
352,PKPK,Paragon Karya Perkasa Tbk.,11 Jul 2007,1.200.000.000,Pengembangan
353,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus
354,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus
355,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
356,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan
357,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
358,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
359,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
360,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pemantauan Khusus
361,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus
362,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus
363,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
364,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
365,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pemantauan Khusus
366,PTBA,Bukit Asam Tbk.,23 Des 2002,11.520.659.250,Utama
367,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Pengembangan
368,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
369,PTRO,Petrosea Tbk.,21 Mei 1990,10.086.050.000,Utama
370,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Pengembangan
371,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan
372,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan
373,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
374,PYFA,Pyridam Farma Tbk,16 Okt 2001,11.236.684.580,Pengembangan
375,RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,Utama
376,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
377,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Pengembangan
378,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pemantauan Khusus
379,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan
380,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan
381,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Pemantauan Khusus
382,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
383,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus
384,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pemantauan Khusus
385,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Pengembangan
386,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
387,SAFE,Steady Safe Tbk,15 Agt 1994,615.145.012,Pengembangan
388,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,17.147.132.545,Utama
389,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan
390,SCMA,Surya Citra Media Tbk.,16 Jul 2002,73.970.569.505,Utama
391,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,3.600.000,Pemantauan Khusus
392,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,Pemantauan Khusus
393,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Pengembangan
394,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan
395,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,1.818.622.000,Utama
396,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan
397,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,30.000.000.000,Utama
398,SILO,Siloam International Hospitals,12 Sep 2013,13.006.125.000,Utama
399,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,Pemantauan Khusus
400,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.501.310.000,Utama
401,SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,1.839.102.056,Pemantauan Khusus
402,SKBM,Sekar Bumi Tbk.,28 Sep 2012,1.730.103.217,Pengembangan
403,SKLT,Sekar Laut Tbk.,08 Sep 1993,6.907.405.000,Pengembangan
404,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pemantauan Khusus
405,SMAR,Smart Tbk.,20 Nov 1992,2.872.193.366,Pengembangan
406,SMBR,Semen Baturaja Tbk.,28 Jun 2013,9.932.534.336,Utama
407,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,9.019.381.973,Pemantauan Khusus
408,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
409,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama
410,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,6.751.540.089,Utama
411,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Utama
412,SMMT,Golden Eagle Energy Tbk.,01 Des 1997,3.425.000.000,Pengembangan
413,SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama
414,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,Pemantauan Khusus
415,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama
416,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,Pengembangan
417,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,662.400.000,Pengembangan
418,SPMA,Suparma Tbk.,16 Nov 1994,3.154.092.216,Pengembangan
419,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pemantauan Khusus
420,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.238.959.990,Pengembangan
421,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Pemantauan Khusus
422,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Pengembangan
423,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama
424,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
425,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,Utama
426,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,1.170.909.181,Pengembangan
427,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,4.800.000.602,Pemantauan Khusus
428,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,Pengembangan
429,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,Pemantauan Khusus
430,SULI,SLJ Global Tbk.,21 Mar 1994,6.320.776.836,Pengembangan
431,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus
432,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,Pengembangan
433,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus
434,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus
435,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
436,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,6.025.373.372,Utama
437,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,734.680.000,Pengembangan
438,TCID,Mandom Indonesia Tbk.,30 Sep 1993,402.133.334,Pengembangan
439,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,7.310.929.389,Pemantauan Khusus
440,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pemantauan Khusus
441,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,Pengembangan
442,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan
443,TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,Utama
444,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
445,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Pemantauan Khusus
446,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama
447,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
448,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama
449,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan
450,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,8.257.402.931,Utama
451,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
452,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Pengembangan
453,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama
454,TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,86.511.545.092,Pengembangan
455,TPMA,Trans Power Marine Tbk.,20 Feb 2013,3.507.420.034,Utama
456,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.643.627.934,Pemantauan Khusus
457,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus
458,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
459,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Pemantauan Khusus
460,TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.831,Pengembangan
461,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Pengembangan
462,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
463,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.509.864.300,Utama
464,ULTJ,Ultrajaya Milk Industry & Trad,02 Jul 1990,10.398.175.200,Utama
465,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama
466,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pengembangan
467,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,2.500.162.344,Pemantauan Khusus
468,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
469,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,38.150.000.000,Utama
470,VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama
471,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.460.573.616,Pengembangan
472,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Pemantauan Khusus
473,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan
474,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
475,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,1.240.923.111,Pengembangan
476,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan
477,WICO,Wicaksana Overseas Internation,08 Agt 1994,2.393.710.348,Pemantauan Khusus
478,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,Utama
479,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,39.873.063.858,Pengembangan
480,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.460.988.262,Utama
481,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Pengembangan
482,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,28.806.807.016,Pemantauan Khusus
483,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,Utama
484,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,Pemantauan Khusus
485,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan
486,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,2.510.706.263,Pemantauan Khusus
487,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,Utama
488,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.476.269.803,Pengembangan
489,DAYA,Duta Intidaya Tbk.,28 Jun 2016,2.420.547.025,Pengembangan
490,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4.175.000.000,Pengembangan
491,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Pengembangan
492,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,Pemantauan Khusus
493,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,Pengembangan
494,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pemantauan Khusus
495,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pemantauan Khusus
496,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus
497,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,6.347.220.000,Pengembangan
498,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Utama
499,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,1.438.370.465,Pemantauan Khusus
500,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,56.780.478.486,Pemantauan Khusus
501,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,3.000.000.000,Pengembangan
502,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,Utama
503,BOGA,Bintang Oto Global Tbk.,19 Des 2016,3.803.526.210,Pengembangan
504,BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,45.667.877.639,Utama
505,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Pengembangan
506,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,15.000.000.000,Utama
507,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,9.843.750.000,Pengembangan
508,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,24.000.000.000,Utama
509,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,37.500.000.000,Pemantauan Khusus
510,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.307.000.000,Pengembangan
511,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Pemantauan Khusus
512,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,1.475.363.179,Pengembangan
513,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Pemantauan Khusus
514,KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan
515,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus
516,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.387.922.900,Pengembangan
517,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.437.500.000,Utama
518,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,Utama
519,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,Pemantauan Khusus
520,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,9.677.752.680,Pengembangan
521,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan
522,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
523,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,11.004.929.322,Pemantauan Khusus
524,MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Pengembangan
525,BELL,Trisula Textile Industries Tbk,03 Okt 2017,7.250.000.000,Pengembangan
526,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,1.075.862.960,Pengembangan
527,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,37.565.978.976,Pemantauan Khusus
528,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,2.924.486.639,Pengembangan
529,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,25.250.000.000,Pemantauan Khusus
530,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Utama
531,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Pengembangan
532,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Pengembangan
533,PSSI,IMC Pelita Logistik Tbk.,05 Des 2017,5.417.063.153,Utama
534,MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,23.646.668.691,Utama
535,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,9.252.820.991,Pengembangan
536,PBID,Panca Budi Idaman Tbk.,13 Des 2017,7.500.000.000,Utama
537,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
538,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5.885.000.000,Pengembangan
539,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Pengembangan
540,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,Pemantauan Khusus
541,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
542,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1.400.000.000,Pemantauan Khusus
543,HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan
544,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,2.032.540.000,Pemantauan Khusus
545,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,Pengembangan
546,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,Pengembangan
547,TDPM,Tianrong Chemicals Industry Tb,09 Apr 2018,10.485.050.500,Pemantauan Khusus
548,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.899.852.850,Pengembangan
549,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan
550,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7.626.663.000,Utama
551,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Utama
552,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.434.905,Pengembangan
553,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,15.365.950.000,Utama
554,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan
555,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Pengembangan
556,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,3.555.575.600,Utama
557,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,60.676.178.205,Utama
558,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pemantauan Khusus
559,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan
560,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,28.504.000.000,Utama
561,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,Pengembangan
562,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
563,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,10.945.000.000,Pengembangan
564,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan
565,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Pemantauan Khusus
566,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
567,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.554.445.700,Pengembangan
568,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pemantauan Khusus
569,FILM,MD Entertainment Tbk.,07 Agt 2018,10.887.566.758,Utama
570,ANDI,Andira Agro Tbk.,16 Agt 2018,9.350.000.000,Pemantauan Khusus
571,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,2.792.620.000,Pemantauan Khusus
572,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,2.724.036.581,Pengembangan
573,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,16.883.595.500,Pengembangan
574,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,1.625.000.000,Pemantauan Khusus
575,CITY,Natura City Developments Tbk.,28 Sep 2018,5.405.188.966,Pengembangan
576,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan
577,SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,Pengembangan
578,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,Pemantauan Khusus
579,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
580,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1.283.330.000,Pemantauan Khusus
581,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,36.897.901.455,Utama
582,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,7.500.000.000,Utama
583,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,1.912.774.405,Pemantauan Khusus
584,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.219,Pengembangan
585,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan
586,SOSS,Shield On Service Tbk.,06 Nov 2018,799.414.231,Pengembangan
587,DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus
588,POLA,Pool Advista Finance Tbk.,16 Nov 2018,3.351.075.600,Pemantauan Khusus
589,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,1.428.571.400,Pengembangan
590,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
591,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.640,Pengembangan
592,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.003.979,Pengembangan
593,ZONE,Mega Perintis Tbk.,12 Des 2018,870.171.478,Pengembangan
594,PEHA,Phapros Tbk.,26 Des 2018,840.000.000,Pengembangan
595,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,650.000.000,Pemantauan Khusus
596,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,8.120.249.598,Pengembangan
597,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pemantauan Khusus
598,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,2.570.000.000,Pengembangan
599,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,8.001.111.504,Pengembangan
600,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,798.499.394,Pengembangan
601,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,889.863.981,Pengembangan
602,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pemantauan Khusus
